Year,Type,Country,Area,Activity,Reference
2018.0,Invalid,BRAZIL,"Boi Island, Victoria",Cleaning fish,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.11-Rosilda.pdf
2018.0,Unprovoked,ECUADOR,Galapagos Islands,Snorkeling,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.03-Newman.pdf
2018.0,Invalid,AUSTRALIA,Western Australia,Spearfishing,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.01-Martin.pdf
2018.0,Unprovoked,AUSTRALIA,Queensland,Diving,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.14-Vickers.pdf
2018.0,Unprovoked,AUSTRALIA,New South Wales,Free diving,http://sharkattackfile.net/spreadsheets/pdf_directory/http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.13-Stewart.pdf
2018.0,Unprovoked,BRAZIL,Fernando de Noronha,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.12-Bulhoes.pdf
2018.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.05-Justin.pdf
2017.0,Unprovoked,USA,Hawaii,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.31-Mariano.pdf
2017.0,Unprovoked,USA,California,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.30.Jones.pdf
2017.0,Provoked,MALAYSIA,Sepang,Fishing / Wading,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.21-Harun.pdf
2017.0,Unprovoked,COSTA RICA,Cocos Island,Scuba Diving,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.30.b-Jimenez.pdf
2017.0,Unprovoked,COSTA RICA,Cocos Island,Scuba diving,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.30.a-Bhandari.pdf
2017.0,Unprovoked,USA,California,Spearfishing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.24-Azatian.pdf
2017.0,Unprovoked,USA,Florida,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.18-Anderson.pdf
2017.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.13-Fry.pdf
2017.0,Unprovoked,CUBA,Holquin Province,Night bathing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.04-Cuba.pdf
2017.0,Unprovoked,AUSTRALIA,Queensland,Snorkeling,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.21.R-Tolley.pdf
2017.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.28-Birubi.pdf
2017.0,Unprovoked,USA,Hawaii,Stand-Up Paddleboarding,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.26-Oahu.pdf
2017.0,Unprovoked,MAURITIUS,Pamplemousses ,Swimming,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.c-Mauritius.pdf
2017.0,Unprovoked,USA,Florida,Surfing ,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.b-Hartl.pdf
2017.0,Unprovoked,USA,Florida,Swimming,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.a-Peteka.pdf
2017.0,Unprovoked,AUSTRALIA,South Australia,Kayaking / Fishing,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.22-Williams.pdf
2017.0,Unprovoked,NEW ZEALAND,North Island,Kayaking,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.21-Lomas.pdf
2017.0,Unprovoked,USA,Florida,Swimming,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.18-Iribam.pdf
